342-342-621= -621
981*280+758= 275438
800+310-269= 841
479*534+795= 256581
447)459+491= ERROR
268)122*276= ERROR
664(462)978= ERROR
156+524+551= 1231
589(513-218= ERROR
259(580)675= ERROR
728+4(235= ERROR
762)178+512= ERROR
978*742)638= ERROR
896*156+476= 140252
457-781+860= 536
806+686(461= ERROR
597)410(394= ERROR
5(146-639= ERROR
900)587+659= ERROR
615(437-491= ERROR
19(751*28= ERROR
310(793+280= ERROR
502-640(872= ERROR
66-666)973= ERROR
287(945+904= ERROR
880*98+441= 86681
500)312(77= ERROR
756)643*245= ERROR
699*480+901= 336421
333+129+434= 896
110*799*833= 73212370
714-758+957= 913
811+921*28= 26599
167*774-504= 128754
425)773*712= ERROR
345+76-877= -456
769+94+967= 1830
360-707)714= ERROR
570-976+759= 353
8+299(112= ERROR
328+387*274= 106366
855)667)735= ERROR
787)428(379= ERROR
962)838(169= ERROR
946-619-175= 152
572-753)110= ERROR
145+417)221= ERROR
600*925*214= 118770000
462-143+861= 1180
869*579-278= 502873
350*979(251= ERROR
671)716-53= ERROR
772(23*863= ERROR
832*883+156= 734812
136+746+860= 1742
569)53+135= ERROR
872(316-313= ERROR
550*825*887= 402476250
467(472)89= ERROR
479(67-63= ERROR
809+918-442= 1285
887+884+238= 2009
153-230)712= ERROR
81(612*400= ERROR
942+939+92= 1973
571*114+194= 65288
508+267)440= ERROR
171(708*703= ERROR
359-319+189= 229
6)307-318= ERROR
853-434*516= -223091
610+577+130= 1317
413)512*927= ERROR
993-344-396= 253
602)155+177= ERROR
400-337-488= -425
942*393+127= 370333
60-136+701= 625
768)731(553= ERROR
222+80(187= ERROR
751*370+209= 278079
170)98+969= ERROR
583(350(211= ERROR
482-187-398= -103
564(790+763= ERROR
508-524*113= -58704
612*166*400= 40636800
640-160)790= ERROR
229+86*839= 72383
79)583-972= ERROR
509+562*166= 93801
480*898)364= ERROR
890-938(558= ERROR
597)997-36= ERROR
598)164)29= ERROR
457*45)127= ERROR
830*108(805= ERROR
893-890)235= ERROR
698+569*675= 384773
388(551*48= ERROR
565+806*515= 415655
855(478)911= ERROR
74-29)92= ERROR
30*264-745= 7175
609+210)223= ERROR
650-153+474= 971
890+558+821= 2269
969+27(292= ERROR
728-372(650= ERROR
722(239(800= ERROR
508*102(113= ERROR
445+282*11= 3547
434-816*142= -115438
644*35*726= 16364040
981*30*962= 28311660
494-413(932= ERROR
627-823*910= -748303
382+196-52= 526
377-42-478= -143
723(293+819= ERROR
745-989)31= ERROR
481*98(489= ERROR
350(947+918= ERROR
481*33*787= 12492051
169*349*736= 43410016
390(482(712= ERROR
589+565+909= 2063
208(300-914= ERROR
484(916*93= ERROR
945*402*952= 361655280
253+346)482= ERROR
955(774(189= ERROR
580*638+712= 370752
663+695(326= ERROR
582+665(460= ERROR
112*219)202= ERROR
49*70)88= ERROR
636-783-858= -1005
201+810)739= ERROR
986+649)203= ERROR
337)204-301= ERROR
475-656*744= -487589
206(763)511= ERROR
342-607)179= ERROR
938)416-17= ERROR
785-436+527= 876
254+532*772= 410958
865*911)932= ERROR
373*330(183= ERROR
612+418)668= ERROR
311(495)582= ERROR
328)931)528= ERROR
536-543)984= ERROR
809)466(538= ERROR
755+451-444= 762
102+118-391= -171
154)856*590= ERROR
361+489-157= 693
897+615)599= ERROR
360(931*303= ERROR
523)750-374= ERROR
462+988+738= 2188
579+553+643= 1775
68+928(935= ERROR
88(776-198= ERROR
480+80*231= 18960
859+295*585= 173434
637+550)288= ERROR
261*4-764= 280
649-143-157= 349
460-299)512= ERROR
901-72+447= 1276
975(636)272= ERROR
401(724)788= ERROR
903+472*211= 100495
647*307(609= ERROR
105(949+159= ERROR
227-553(34= ERROR
695)683)61= ERROR
830*154*551= 70428820
47(122)121= ERROR
747+40)594= ERROR
333)116+192= ERROR
913+235)602= ERROR
468-636*39= -24336
24(220+82= ERROR
456+618)897= ERROR
114+267-437= -56
685*568(175= ERROR
100-414*869= -359666
186+762-739= 209
502)131(801= ERROR
637-668(6= ERROR
245-9+351= 587
878(898+507= ERROR
295*40-145= 11655
705-799(76= ERROR
627-71-235= 321
965(779*792= ERROR
415(144(778= ERROR
21*306*823= 5288598
443(226(464= ERROR
960*119(447= ERROR
638+938)271= ERROR
267-163+672= 776
335)683+875= ERROR
536)853)359= ERROR
338(338*671= ERROR
751*259)877= ERROR
116-835-361= -1080
2-820)561= ERROR
102(500)57= ERROR
338(456+235= ERROR
244+331(442= ERROR
214*23(81= ERROR
117*599+39= 70122
200)628)165= ERROR
36+946(97= ERROR
19(692-300= ERROR
117*71-818= 7489
606+869(911= ERROR
480)597-183= ERROR
226+64-849= -559
986(502-882= ERROR
569*424+46= 241302
277*439-541= 121062
102-939+737= -100
506-948+952= 510
605+480)119= ERROR
560-921-450= -811
475)491-15= ERROR
167)132(311= ERROR
578(401)71= ERROR
218*278*46= 2787784
890+718*213= 153824
799(543)927= ERROR
454)733+243= ERROR
335*935+818= 314043
352-745+676= 283
631(361)37= ERROR
730+18-207= 541
542)791)565= ERROR
444(872)985= ERROR
832-814(997= ERROR
674*95(324= ERROR
822(770-513= ERROR
472+289+827= 1588
157*849(314= ERROR
553(237(219= ERROR
157+950(825= ERROR
309)178(70= ERROR
324+830-138= 1016
634+455(100= ERROR
868-342)488= ERROR
921-54-76= 791
45-449*68= -30487
255*214(519= ERROR
535)753-775= ERROR
160-522)53= ERROR
141*16(97= ERROR
351(801(434= ERROR
930+503)702= ERROR
304*415-167= 125993
672+543)394= ERROR
41)498*952= ERROR
81-430*544= -233839
206(779)952= ERROR
747)430*564= ERROR
819-397+301= 723
636-957-790= -1111
888-457+908= 1339
657+450(855= ERROR
721)92)391= ERROR
689)713)11= ERROR
715+496(465= ERROR
51+81(34= ERROR
283*681+434= 193157
859)862-78= ERROR
722-645(96= ERROR
591*894-76= 528278
533*789-138= 420399
823+255(166= ERROR
573)374+835= ERROR
587-446+178= 319
215)787*477= ERROR
191(574*113= ERROR
375)548-92= ERROR
77*460*252= 8925840
792+356+605= 1753
869*174-905= 150301
4*489*213= 416628
191+430(443= ERROR
279+699+655= 1633
355)951(807= ERROR
804*919(194= ERROR
672)794+896= ERROR
241*205*839= 41450795
868(348*368= ERROR
587+151)922= ERROR
747)861(447= ERROR
321(830(285= ERROR
335*181)117= ERROR
418+6+585= 1009
352+887*841= 746319
630)212(978= ERROR
53*533-713= 27536
957)548+556= ERROR
713)839-355= ERROR
697-839+90= -52
588(606(289= ERROR
232+144+895= 1271
751+153)770= ERROR
160-229-33= -102
377-914+665= 128
40(849+915= ERROR
372*78*749= 21732984
318)714-997= ERROR
118(779)812= ERROR
159+509(694= ERROR
895)512)924= ERROR
68-2(591= ERROR
343+653*567= 370594
845-989)382= ERROR
253)934*182= ERROR
617+937*607= 569376
46)574)212= ERROR
353+483-925= -89
290*510+808= 148708
55+69*898= 62017
347-516-635= -804
892+437(370= ERROR
348)363(787= ERROR
89)850(758= ERROR
11*254(985= ERROR
496)475(877= ERROR
51*475+208= 24433
358+414-285= 487
728*41-346= 29502
4+657-440= 221
394)503(351= ERROR
607*262*991= 157602694
195+214+508= 917
403(154+540= ERROR
982(988(755= ERROR
480)886(173= ERROR
548-12)75= ERROR
471(928)624= ERROR
32(388(31= ERROR
325+235)380= ERROR
7-835-989= -1817
890(634-712= ERROR
851(147)535= ERROR
490)628-314= ERROR
592+162-967= -213
238*292+758= 70254
808+602-545= 865
344(145*722= ERROR
64+489(113= ERROR
136+564(629= ERROR
644-399)205= ERROR
769*687-253= 528050
366+124*801= 99690
183-675)156= ERROR
470*591+578= 278348
391*790(726= ERROR
839)400*173= ERROR
874)920+715= ERROR
841(442(691= ERROR
192*560-373= 107147
991-855)29= ERROR
285*764+485= 218225
833)442+200= ERROR
672+948)361= ERROR
300-86-588= -374
885(912)519= ERROR
150+434)960= ERROR
152-621)96= ERROR
514-138+777= 1153
200*488)566= ERROR
398)980)943= ERROR
830+79*87= 7703
924-646)881= ERROR
954+3*598= 2748
440)709+701= ERROR
969*346+297= 335571
687(993)719= ERROR
382-930+853= 305
731(449(427= ERROR
745*830+410= 618760
380*596*957= 216741360
411(870+425= ERROR
272*252(173= ERROR
583+633*413= 262012
905*907*804= 659951340
176+76(912= ERROR
144-913-763= -1532
883-949(125= ERROR
263-82-649= -468
472(928)740= ERROR
757(690*663= ERROR
724+853-554= 1023
840(146+558= ERROR
38-307-89= -358
556*872+833= 485665
879+946(999= ERROR
683(169+711= ERROR
942(609+608= ERROR
302*191+224= 57906
405)531*424= ERROR
998)192-41= ERROR
763)318)99= ERROR
570+655(26= ERROR
81)51)284= ERROR
805)41)953= ERROR
668(911-308= ERROR
300+713+210= 1223
959+213-121= 1051
944*446-532= 420492
392+878+291= 1561
377*270)169= ERROR
546)274-141= ERROR
810+444-37= 1217
339(618-983= ERROR
661+242(148= ERROR
249-973(52= ERROR
934+933*353= 330283
57)71(826= ERROR
696-721(449= ERROR
790+28+144= 962
797)371+365= ERROR
508+687(691= ERROR
183*995-324= 181761
573-499*460= -228967
810+797)198= ERROR
670-204+530= 996
438*201*478= 42082164
336*805*280= 75734400
410+934)701= ERROR
647(129+754= ERROR
894-428)446= ERROR
178(520(323= ERROR
346*358)78= ERROR
739*21+504= 16023
614*986*367= 222183268
719)352-789= ERROR
470-335-65= 70
658-51+394= 1001
514-911+335= -62
976)516+339= ERROR
830-464+919= 1285
316+20)672= ERROR
361+476+504= 1341
32)361*879= ERROR
71)170(161= ERROR
903*695+887= 628472
911-396*54= -20473
665+267+197= 1129
592+264-192= 664
949*217)991= ERROR
322-793-681= -1152
825(311)394= ERROR
580(502+716= ERROR
693*206)794= ERROR
849)729+193= ERROR
98*416+668= 41436
312+483*903= 436461
794-585*261= -151891
679(192*432= ERROR
161)127(632= ERROR
505-501)530= ERROR
897-623)239= ERROR
712(99(475= ERROR
827*143*541= 63979201
473(258+842= ERROR
660)735(538= ERROR
883*281)758= ERROR
542+895*67= 60507
965)181-102= ERROR
218*814(970= ERROR
298*322)392= ERROR
696-664-684= -652
307-690(206= ERROR
792-509(185= ERROR
351)805(666= ERROR
531(911-98= ERROR
323(263(796= ERROR
595(342+683= ERROR
63-168)367= ERROR
947(687-663= ERROR
479)491(973= ERROR
667-246)378= ERROR
109-860)902= ERROR
658)590*780= ERROR
32-10)680= ERROR
448(516+168= ERROR
209+474)875= ERROR
124(311+583= ERROR
503*230)772= ERROR
819*53*512= 22224384
646)794-603= ERROR
577+511(424= ERROR
430-267-194= -31
182(927(890= ERROR
233-525-395= -687
659*366-753= 240441
860*163)633= ERROR
829-129(343= ERROR
520(184+157= ERROR
525-860-181= -516
646*213(999= ERROR
467)302-662= ERROR
356)880(362= ERROR
285-110)806= ERROR
69(432-607= ERROR
23)507(314= ERROR
580)735)113= ERROR
513)609-742= ERROR
50*324(700= ERROR
915(423)990= ERROR
262)262+534= ERROR
956(945-299= ERROR
849+268*659= 177461
866*790)861= ERROR
554)891+601= ERROR
230-802+95= -477
242+312+400= 954
74-726-95= -747
168*548+754= 92818
28+535-76= 487
544*428*727= 169268864
339-13)310= ERROR
209(408+38= ERROR
572*62*666= 23619024
387+347+385= 1119
429*827*701= 248702883
724+425-615= 534
520+607(11= ERROR
768(161(117= ERROR
248-196*104= -20136
177)581)74= ERROR
84(176-147= ERROR
247)417(882= ERROR
197-269)562= ERROR
953)302+326= ERROR
779(686(83= ERROR
763*261+950= 200093
46(412+791= ERROR
880-484+268= 664
739+250*604= 151739
976*473)865= ERROR
312-625-983= -1296
108*547)43= ERROR
128)699+361= ERROR
519-278)95= ERROR
982-60*632= -36938
61+106)790= ERROR
905(82-321= ERROR
143)750+895= ERROR
778-81)232= ERROR
689(485+232= ERROR
256-861(952= ERROR
237*37*540= 4735260
248)743(512= ERROR
540+879+696= 2115
70-651*317= -206297
306)37*140= ERROR
735*513-472= 376583
21+199(269= ERROR
821+974-885= 910
424-140(954= ERROR
136-312+423= 247
967-746(742= ERROR
162(816)633= ERROR
143+749(839= ERROR
457+83*630= 52747
492(51*990= ERROR
416)692-398= ERROR
392+987)943= ERROR
727+401)8= ERROR
9+19(9= ERROR
100*574*602= 34554800
113)467(601= ERROR
277(51(127= ERROR
428+361-471= 318
66)39(851= ERROR
741-937-28= -224
329+495-809= 15
912-915*292= -266268
746-276(874= ERROR
127-650*860= -558873
740+427)622= ERROR
619-552(150= ERROR
498+217*205= 44983
767(391*93= ERROR
493+13(841= ERROR
546(923(704= ERROR
428)258(422= ERROR
735+455(346= ERROR
37+397)33= ERROR
166+212)769= ERROR
391(240-892= ERROR
970-289)634= ERROR
589-661(954= ERROR
891-810+458= 539
296-53-46= 197
694+855)590= ERROR
566)681)267= ERROR
340-267(680= ERROR
44+523)160= ERROR
67*779)58= ERROR
638*14-176= 8756
550*986*416= 225596800
882+726+509= 2117
963(62-695= ERROR
70-726)574= ERROR
664)135*529= ERROR
593*543-491= 321508
664)954-716= ERROR
941+253+723= 1917
988+805+672= 2465
195)519)290= ERROR
719)41)826= ERROR
35+391+49= 475
379(678(15= ERROR
480-221-138= 121
556(797+469= ERROR
156+180(227= ERROR
998)59+664= ERROR
804(650+550= ERROR
131*961*685= 86235335
833)877-291= ERROR
41)370+722= ERROR
334+692(992= ERROR
217)241+655= ERROR
810-87-103= 620
562(175-833= ERROR
299*831+148= 248617
792(136)919= ERROR
897+785(61= ERROR
262+114)416= ERROR
32(251*492= ERROR
761)784*683= ERROR
430(440)63= ERROR
759(948*340= ERROR
184*336(84= ERROR
741*248)826= ERROR
387+581(63= ERROR
204-477*300= -142896
841+840-938= 743
948-446*71= -30718
866-55*805= -43409
48-580*739= -428572
819+470*287= 135709
922(64)80= ERROR
898*774)986= ERROR
152-899+382= -365
224)355)657= ERROR
740+602*682= 411304
604)842)270= ERROR
411+951)593= ERROR
31)116-917= ERROR
499(996*324= ERROR
100)270(853= ERROR
438-706*942= -664614
959(206*769= ERROR
428)352)339= ERROR
297)663)772= ERROR
123*320-909= 38451
448)966)842= ERROR
178*580-582= 102658
138(868*537= ERROR
268(759)332= ERROR
539*413(678= ERROR
294+438(238= ERROR
488*832)826= ERROR
969(237(905= ERROR
874+26-530= 370
441*925)390= ERROR
871+179*460= 83211
719-844)156= ERROR
118(315-515= ERROR
42-713-280= -951
464-487*535= -260081
373+326*255= 83503
36+690(603= ERROR
994+590*927= 547924
676-306-101= 269
9-260*917= -238411
305*798-933= 242457
134*886+933= 119657
79(891+461= ERROR
28)803)113= ERROR
293+211(801= ERROR
744+169*547= 93187
40*821+14= 32854
256-552-975= -1271
424-519*71= -36425
400*801*499= 159879600
403*35)366= ERROR
187+310)294= ERROR
384+340+128= 852
677*83*411= 23094501
697*345(847= ERROR
606)205+966= ERROR
855)84(364= ERROR
623)632(915= ERROR
720-860(438= ERROR
883-591+623= 915
902(652-274= ERROR
180)757(733= ERROR
784+125*548= 69284
558-817*583= -475753
638)136-1= ERROR
379(550(708= ERROR
727-931(938= ERROR
638*524-630= 333682
425(75-238= ERROR
950+962-648= 1264
595)218(66= ERROR
705-374(480= ERROR
465*101)687= ERROR
815*944-45= 769315
208-63+776= 921
257-661)420= ERROR
185(11)768= ERROR
432-197+112= 347
856)212)731= ERROR
687*327*12= 2695788
592+1)322= ERROR
709(611+505= ERROR
18)552(389= ERROR
598)931(94= ERROR
736*888(746= ERROR
61-241*922= -222141
801+33+338= 1172
482(100-707= ERROR
687(233-801= ERROR
712+383)52= ERROR
557*387(902= ERROR
343(576-165= ERROR
470(226(91= ERROR
687)132*957= ERROR
15-441+976= 550
422(467(314= ERROR
518-678)206= ERROR
706(89(770= ERROR
849-37+286= 1098
430-579-321= -470
790)132+540= ERROR
365(294(782= ERROR
503+474)715= ERROR
876-359(857= ERROR
647+702*990= 695627
779-334-551= -106
186*547*20= 2034840
166(916(847= ERROR
301)667)771= ERROR
978-179(760= ERROR
614(385*439= ERROR
783)829*281= ERROR
228)345)401= ERROR
256-256-37= -37
892-649*424= -274284
863*73-755= 62244
532-448)480= ERROR
303*9-461= 2266
269+872-604= 537
706(869)719= ERROR
205(886-864= ERROR
819*385-54= 315261
432*875*284= 107352000
501)1+124= ERROR
946)486(596= ERROR
544*352)700= ERROR
116+721-398= 439
796*668)981= ERROR
505(645-419= ERROR
501*572+372= 286944
256)360-307= ERROR
872(531)477= ERROR
612*502+18= 307242
376(708*12= ERROR
318-150)287= ERROR
242-95+671= 818
365(141-96= ERROR
91)386+209= ERROR
420)7)438= ERROR
675-94+627= 1208
889*59-879= 51572
174(907*299= ERROR
442+991+63= 1496
484-154(873= ERROR
691-100-505= 86
199+962+609= 1770
34)392(312= ERROR
961(304(38= ERROR
567)390*18= ERROR
616*405*480= 119750400
905)603-334= ERROR
874+67+679= 1620
118*687(546= ERROR
358(449)161= ERROR
912(643-231= ERROR
164+743+209= 1116
765)679+309= ERROR
745-795)228= ERROR
859-32)568= ERROR
803*785+269= 630624
543)131(145= ERROR
149+131*358= 47047
105+880)315= ERROR
950)867-984= ERROR
893+770-579= 1084
722(695*670= ERROR
426*233+677= 99935
755(148)212= ERROR
585)651-976= ERROR
120+49-900= -731
768(515(216= ERROR
273*983-95= 268264
491+718)955= ERROR
197*432)904= ERROR
697+724*141= 102781
21)423(363= ERROR
673*714)165= ERROR
850+739-149= 1440
123-924-329= -1130
265*378(428= ERROR
49(701)31= ERROR
770+735)305= ERROR
92+990-28= 1054
117*549(828= ERROR
37-968+490= -441
326-171(759= ERROR
483(437(393= ERROR
956+417*995= 415871
578+605+673= 1856
300-778)553= ERROR
382+507*31= 16099
61)735-602= ERROR
87-19)801= ERROR
753(363-143= ERROR
721+439*79= 35402
618-523*582= -303768
929*18(205= ERROR
307(173*835= ERROR
65+131*266= 34911
309)134)867= ERROR
854*585(810= ERROR
960+451*593= 268403
268(541)886= ERROR
624(673+41= ERROR
291-986(677= ERROR
531(143+580= ERROR
692*72)669= ERROR
450*558+863= 251963
698*936*807= 527235696
707)146+155= ERROR
368(955)322= ERROR
353)425+375= ERROR
685+17+369= 1071
262+806*849= 684556
415(466)55= ERROR
701*126+113= 88439
107*172)745= ERROR
922-326)115= ERROR
185+941(583= ERROR
568)730-703= ERROR
989(716+9= ERROR
151)114(500= ERROR
710-856+209= 63
728)191(785= ERROR
634+378(556= ERROR
827)37)472= ERROR
198)591(811= ERROR
192(961)570= ERROR
857+315-404= 768
974+108(259= ERROR
752+937+615= 2304
552*487)749= ERROR
433)242*35= ERROR
726-549+629= 806
969)686)838= ERROR
358*666)234= ERROR
880*61-531= 53149
585-487*54= -25713
177)71-226= ERROR
474+870(9= ERROR
12)294)91= ERROR
91(791-448= ERROR
578+233(644= ERROR
771*961+765= 741696
388+518(189= ERROR
719)842*148= ERROR
60+211*721= 152191
331(352*147= ERROR
264+269)31= ERROR
472)123)274= ERROR
558-361(522= ERROR
404(929*26= ERROR
513-993*53= -52116
776+49*274= 14202
207)786)733= ERROR
604(304(9= ERROR
491*391)103= ERROR
743*241)519= ERROR
612(98+934= ERROR
14)617*911= ERROR
353+557)398= ERROR
313*688-69= 215275
810*837+586= 678556
435)34+600= ERROR
697*535*269= 100308755
616+322+149= 1087
933+526(901= ERROR
578*549*170= 53944740
45*199(100= ERROR
815)2(236= ERROR
960+170)327= ERROR
698(593(485= ERROR
371(193(944= ERROR
596)561(657= ERROR
234(498(160= ERROR
824-313+591= 1102
112*337+437= 38181
640+123-469= 294
232-585*190= -110918
557-908*701= -635951
248+719+70= 1037
840+766-477= 1129
139*97*373= 5029159
899*128(951= ERROR
824(917*943= ERROR
744+173*723= 125823
852(167+393= ERROR
314)880)398= ERROR
627+587)540= ERROR
44(985)864= ERROR
590(851)18= ERROR
961-340)395= ERROR
609+349+469= 1427
564+839-254= 1149
414(126(438= ERROR
942)810-910= ERROR
724(597)551= ERROR
94+191*901= 172185
180(259(35= ERROR
97(651)720= ERROR
901(232)685= ERROR
22*574(428= ERROR
183+252-620= -185
229*168(200= ERROR
59-613*299= -183228
641+614)205= ERROR
196)153*507= ERROR
338+328*454= 149250
174)349+789= ERROR
895(559)337= ERROR
679)298-730= ERROR
626-9)711= ERROR
144+837(886= ERROR
365-310-835= -780
125-127)627= ERROR
556(351(998= ERROR
437-247)188= ERROR
670(589+416= ERROR
787+41-135= 693
662*772-146= 510918
611)955*999= ERROR
133-842+927= 218
635+945*911= 861530
836-865*691= -596879
996*746*612= 454725792
327(878(28= ERROR
333*189-886= 62051
624*851+428= 531452
562-63-423= 76
724)648)914= ERROR
476(390+652= ERROR
575*756*300= 130410000
180-139*921= -127839
749+919)674= ERROR
904-353+777= 1328
372(954)557= ERROR
347-54-569= -276
928)978(454= ERROR
179+234(26= ERROR
168-76*544= -41176
155(534*19= ERROR
370*505+280= 187130
395)425)544= ERROR
926)514*969= ERROR
221-837(888= ERROR
489)815)295= ERROR
352)492+62= ERROR
795)166-645= ERROR
318)920-999= ERROR
481)878)704= ERROR
311-114)69= ERROR
180*679(760= ERROR
294+317*452= 143578
819*141*371= 42842709
110*455-548= 49502
73+205)570= ERROR
474+255*69= 18069
935(860(576= ERROR
200)672)341= ERROR
720)630*378= ERROR
661+463(535= ERROR
511+257-842= -74
313(28)79= ERROR
94+545-168= 471
248)959-879= ERROR
753(798)338= ERROR
605*21*989= 12565245
108)936*484= ERROR
579-27*522= -13515
232+240)633= ERROR
518(83+848= ERROR
205)84)114= ERROR
227-172(264= ERROR
304*55*84= 1404480
50*647)287= ERROR
293+714+424= 1431
684*20-631= 13049
238-753*417= -313763
555*34+421= 19291
456(507*631= ERROR
230+208-121= 317
419*702)971= ERROR
321-827(993= ERROR
75(750*361= ERROR
249-641+756= 364
273*916-303= 249765
797-375-368= 54
811(724(508= ERROR
621(720)391= ERROR
556)469)824= ERROR
544*727+461= 395949
430(802*868= ERROR
427(785*922= ERROR
763)642)93= ERROR
609-295+134= 448
824+587)500= ERROR
495)122-821= ERROR
812-803+461= 470
994-857*137= -116415
774(852-877= ERROR
369(17*474= ERROR
669+438-495= 612
333*215*443= 31716585
120+872-186= 806
748(84)386= ERROR
733-163*534= -86309
582-930*610= -566718
412)534+160= ERROR
985)608*579= ERROR
753*117)803= ERROR
982(365(416= ERROR
29+259-59= 229
235*266+375= 62885
650+296)628= ERROR
258)530-190= ERROR
47)313)595= ERROR
286(666)412= ERROR
735+95*774= 74265
800)312+374= ERROR
868+890*427= 380898
48-393*392= -154008
208)486*553= ERROR
141*307-552= 42735
618(658(415= ERROR
784-312+933= 1405
873)845*445= ERROR
362)482-59= ERROR
225-648-589= -1012
848-413(163= ERROR
806)755+834= ERROR
943+716(534= ERROR
547)809*815= ERROR
553*997+358= 551699
107)552-508= ERROR
232+553+607= 1392
242+210+60= 512
565)666(211= ERROR
946*100*362= 34245200
259*584*414= 62619984
113)308-207= ERROR
613-271)287= ERROR
141-94(65= ERROR
907)388*369= ERROR
516)880(836= ERROR
105+635-43= 697
659+623(898= ERROR
74+320+996= 1390
534(125+39= ERROR
1-33-3= -35
580(601(689= ERROR
513-277(343= ERROR
257*988)378= ERROR
865*439+471= 380206
884*26-510= 22474
353*792+630= 280206
568+923(875= ERROR
81)184*126= ERROR
845*928*645= 505783200
68(245+621= ERROR
421-259-270= -108
167*460-947= 75873
425(585+416= ERROR
15-547+42= -490
178+673+356= 1207
518-938-220= -640
165-789*608= -479547
65+867)373= ERROR
333(480*638= ERROR
723)907-714= ERROR
661*81-520= 53021
23(493)960= ERROR
961)146)890= ERROR
962-232(352= ERROR
57-523*322= -168349
227+196+657= 1080
617+70-820= -133
76+881+534= 1491
8-618)840= ERROR
442(424*278= ERROR
180+460)373= ERROR
651(548(885= ERROR
617)37*385= ERROR
941)69)149= ERROR
461)713)765= ERROR
815+965)702= ERROR
712-295+452= 869
193)306-821= ERROR
656-470-321= -135
400(52)128= ERROR
219-74)81= ERROR
234*253-380= 58822
295*322+914= 95904
352+822-489= 685
797+997)492= ERROR
267+429*50= 21717
624+892)533= ERROR
696*37*778= 20035056
690+642*300= 193290
105)811*165= ERROR
587(352+615= ERROR
824)733*354= ERROR
678+591)448= ERROR
174-795-291= -912
981-190-34= 757
286-407-999= -1120
945*880(149= ERROR
15-833(170= ERROR
642*569-948= 364350
107(310)72= ERROR
286)181)443= ERROR
350-388-645= -683
422*99+866= 42644
936)214-372= ERROR
751*56(378= ERROR
338(60)911= ERROR
679*441-524= 298915
810-95(489= ERROR
928(853+997= ERROR
837-158+667= 1346
666(691(416= ERROR
554*52+930= 29738
990-252-208= 530
123+178+886= 1187
150+587(141= ERROR
